Дмитрий
Голоскок
3623bc5fca6cfa6d9f5d66af36879232
[6.4.2022 | 18:23:38] {"type":"cmd","data":"run"}
,[6.4.2022 | 18:23:38] {"client-id":"00b052d5-0193-4fd4-9d32-72f8be62d8d3","gpioa":0,"gpiob":0,"gpioc":32768,"gpiod":0,"gpioe":0,"modeltime":0,"type":"gpio"}
,[6.4.2022 | 18:23:38] {"client-id":"00b052d5-0193-4fd4-9d32-72f8be62d8d3","gpioa":0,"gpiob":0,"gpioc":32768,"gpiod":0,"gpioe":0,"modeltime":0,"type":"gpio"}
,[6.4.2022 | 18:23:38] {"client-id":"00b052d5-0193-4fd4-9d32-72f8be62d8d3","gpioa":0,"gpiob":0,"gpioc":32768,"gpiod":0,"gpioe":0,"modeltime":0,"type":"gpio"}
,[6.4.2022 | 18:23:38] {"client-id":"00b052d5-0193-4fd4-9d32-72f8be62d8d3","gpioa":0,"gpiob":0,"gpioc":32768,"gpiod":0,"gpioe":0,"modeltime":0,"type":"gpio"}
,[6.4.2022 | 18:23:38] {"client-id":"00b052d5-0193-4fd4-9d32-72f8be62d8d3","gpioa":0,"gpiob":0,"gpioc":32768,"gpiod":0,"gpioe":0,"modeltime":0,"type":"gpio"}
,[6.4.2022 | 18:23:38] {"client-id":"00b052d5-0193-4fd4-9d32-72f8be62d8d3","gpioa":0,"gpiob":0,"gpioc":32768,"gpiod":4104,"gpioe":0,"modeltime":0,"type":"gpio"}
,[6.4.2022 | 18:23:38] {"client-id":"00b052d5-0193-4fd4-9d32-72f8be62d8d3","gpioa":0,"gpiob":0,"gpioc":32768,"gpiod":4104,"gpioe":0,"modeltime":0,"type":"gpio"}
,[6.4.2022 | 18:23:38] {"client-id":"00b052d5-0193-4fd4-9d32-72f8be62d8d3","gpioa":0,"gpiob":0,"gpioc":32768,"gpiod":4104,"gpioe":0,"modeltime":0,"type":"gpio"}
,[6.4.2022 | 18:23:39] {"client-id":"00b052d5-0193-4fd4-9d32-72f8be62d8d3","gpioa":0,"gpiob":0,"gpioc":32768,"gpiod":4104,"gpioe":0,"modeltime":0,"type":"gpio"}
,[6.4.2022 | 18:23:39] {"client-id":"00b052d5-0193-4fd4-9d32-72f8be62d8d3","gpioa":0,"gpiob":0,"gpioc":32768,"gpiod":4104,"gpioe":0,"modeltime":0,"type":"gpio"}
